,1 ≤ Category < 2,1 ≤ Category_JMR_up < 2
data,2.0,
hh4b,,0.11
hh4b-kl0,,0.14
hh4b-kl2p45,,0.09
hh4b-kl5,,0.07
vbfhh4b,,0.0
vbfhh4b-k2v0,,2.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,2.54
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,3.11
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.36
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.03
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.11
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,2.9
ttbar,0.57,
gghtobb,0.05,
vbfhtobb,0.01,
vhtobb,,0.29
novhhtobb,0.05,
tthtobb,0.04,
diboson,,0.0
vjets,0.0,
